date,industry,trips_per_day,farebox_per_day,unique_drivers,unique_vehicles,vehicles_per_day,avg_days_vehicles_on_road,avg_hours_per_day_per_vehicle,avg_days_drivers_on_road,avg_hours_per_day_per_driver,avg_minutes_per_trip,percent_of_trips_paid_with_credit_card,trips_per_day_shared
2019-12-01,FHV - Other,64192,0,19399,19077,10754,16.53333333333333,3.8666666666666667,16.466666666666665,3.8000000000000003,39.0,,0.0
2020-01-01,FHV - Other,62762,0,19580,19318,10891,16.599999999999998,3.8000000000000003,16.633333333333333,3.766666666666667,34.333333333333336,,0.0
2020-02-01,FHV - Other,57706,0,18114,17715,10173,16.033333333333335,3.8333333333333335,15.899999999999999,3.766666666666667,35.666666666666664,,0.0
2020-03-01,FHV - Other,39921,0,18092,17720,7137,11.466666666666667,3.6,11.366666666666667,3.533333333333333,33.666666666666664,,0.0
2020-04-01,FHV - Other,15970,0,5548,5556,2504,11.466666666666667,3.6999999999999997,11.633333333333333,3.6666666666666665,26.666666666666668,,0.0
2020-05-01,FHV - Other,23413,0,7068,7043,3611,13.466666666666667,3.6666666666666665,13.5,3.6333333333333333,27.0,,0.0
2020-06-01,FHV - Other,32361,0,7854,7788,4444,14.733333333333334,4.033333333333333,14.700000000000001,4.0,29.666666666666668,,0.0
2020-07-01,FHV - Other,32238,0,8183,8013,4392,14.766666666666666,4.133333333333333,14.533333333333331,4.1000000000000005,31.333333333333332,,0.0
2020-08-01,FHV - Other,35679,0,9937,9838,5143,13.966666666666669,3.9000000000000004,13.966666666666667,3.8666666666666667,32.333333333333336,,0.0
2020-09-01,FHV - Other,39903,0,10933,10783,5906,14.5,3.9,14.4,3.8666666666666667,34.666666666666664,,0.0
2020-10-01,FHV - Other,40666,0,11400,11232,6105,14.833333333333334,3.8333333333333335,14.799999999999999,3.766666666666667,34.0,,0.0
2020-11-01,FHV - Other,38583,0,10931,10827,5845,14.299999999999999,3.8333333333333335,14.266666666666666,3.766666666666667,32.666666666666664,,0.0
2020-12-01,FHV - Other,36753,0,10667,10508,5552,14.5,3.8333333333333335,14.366666666666667,3.8000000000000003,30.666666666666668,,0.0
2021-01-01,FHV - Other,36850,0,10255,10128,5402,14.700000000000001,3.8333333333333335,14.633333333333333,3.8000000000000003,29.0,,0.0
2021-02-01,FHV - Other,37049,0,9628,9529,5144,13.533333333333333,4.0,13.533333333333333,3.9333333333333336,31.333333333333332,,0.0
2021-03-01,FHV - Other,43546,0,10493,10371,5937,15.966666666666667,4.0,16.0,3.9666666666666663,31.666666666666668,,0.0
2021-04-01,FHV - Other,43446,0,10946,10784,6037,15.233333333333334,3.9666666666666663,15.133333333333335,3.9333333333333336,34.0,,0.0
2021-05-01,FHV - Other,42059,0,10753,10592,5840,15.466666666666667,3.966666666666667,15.333333333333334,3.966666666666667,36.333333333333336,,0.0
2021-06-01,FHV - Other,44738,0,11924,11767,6475,15.033333333333333,3.8666666666666667,14.933333333333332,3.8666666666666667,38.333333333333336,,0.0
2021-07-01,FHV - Other,41898,0,11413,11271,5894,14.433333333333332,3.8333333333333335,14.366666666666667,3.8000000000000003,38.0,,0.0
2021-08-01,FHV - Other,40497,0,11143,10927,5713,14.600000000000001,3.8000000000000003,14.466666666666667,3.8000000000000003,39.0,,0.0
2021-09-01,FHV - Other,38402,0,11989,11661,5999,14.300000000000002,3.733333333333333,14.066666666666665,3.6666666666666665,40.333333333333336,,0.0
2021-10-01,FHV - Other,40038,0,12456,12070,6333,15.266666666666666,3.6999999999999997,15.0,3.6999999999999997,39.0,,0.0
2021-11-01,FHV - Other,40471,0,12247,11871,6431,15.233333333333334,3.766666666666667,15.066666666666668,3.7000000000000006,38.333333333333336,,0.0
2021-12-01,FHV - Other,43145,0,14730,14408,7066,14.533333333333333,3.733333333333333,14.366666666666665,3.733333333333333,37.333333333333336,,0.0
2022-01-01,FHV - Other,36836,0,13995,13812,6224,13.333333333333334,3.6,13.333333333333334,3.5333333333333337,33.666666666666664,,0.0
2022-02-01,FHV - Other,45025,0,14262,13980,7353,14.333333333333334,3.8000000000000003,14.200000000000001,3.766666666666666,36.0,,0.0
2022-03-01,FHV - Other,45127,0,13864,13540,7313,16.233333333333334,3.8666666666666667,16.133333333333333,3.8333333333333335,36.666666666666664,,0.0
2022-04-01,FHV - Other,44377,0,14607,13748,7259,15.4,3.9,15.133333333333333,3.766666666666667,37.666666666666664,,0.0
2022-05-01,FHV - Other,40423,0,13739,13355,6704,15.166666666666666,3.7999999999999994,15.033333333333331,3.733333333333333,39.0,,0.0
2022-06-01,FHV - Other,40148,0,13527,13087,6784,15.033333333333331,3.8000000000000003,14.866666666666667,3.6999999999999997,40.0,,0.0
2022-07-01,FHV - Other,37309,0,13802,13323,6370,14.333333333333334,3.733333333333333,14.133333333333333,3.6333333333333333,37.666666666666664,,0.0
2022-08-01,FHV - Other,37156,0,12933,12439,6289,15.1,3.733333333333333,14.9,3.6333333333333333,38.0,,0.0
2022-09-01,FHV - Other,40654,0,13743,13240,6767,14.933333333333332,3.8666666666666667,14.666666666666666,3.766666666666667,40.666666666666664,,0.0
2022-10-01,FHV - Other,38735,0,13757,13143,6722,15.566666666666668,3.8333333333333335,15.266666666666666,3.733333333333334,39.666666666666664,,0.0
2022-11-01,FHV - Other,37973,0,13598,13333,6718,14.833333333333334,3.766666666666667,14.666666666666666,3.733333333333334,40.0,,0.0
2022-12-01,FHV - Other,41369,0,14132,13603,6644,14.666666666666666,3.9,14.433333333333332,3.8333333333333335,38.666666666666664,,0.0
2023-01-01,FHV - Other,36999,0,13718,13132,6343,14.4,3.733333333333333,14.266666666666666,3.6333333333333333,35.333333333333336,,0.0
2023-02-01,FHV - Other,40561,0,13599,12940,6742,14.0,3.9333333333333336,13.833333333333334,3.8000000000000003,36.666666666666664,,0.0
2023-03-01,FHV - Other,43730,0,14163,13459,7111,15.766666666666666,4.0,15.666666666666666,3.8666666666666667,38.0,,0.0
2023-04-01,FHV - Other,42373,0,14431,13656,6927,14.433333333333332,3.9333333333333336,14.266666666666666,3.8333333333333335,38.666666666666664,,0.0
2023-05-01,FHV - Other,45720,0,14731,13827,7316,15.533333333333333,4.066666666666666,15.366666666666667,3.9,37.666666666666664,,0.0
2023-06-01,FHV - Other,41546,0,14328,13338,6864,14.666666666666666,3.9,14.433333333333332,3.733333333333333,38.666666666666664,,0.0
2023-07-01,FHV - Other,44167,0,15658,14675,7350,14.199999999999998,3.8000000000000003,14.066666666666668,3.6333333333333333,38.333333333333336,,0.0
2023-08-01,FHV - Other,46597,0,15663,14569,7555,15.1,3.966666666666667,14.799999999999999,3.8333333333333335,40.0,,0.0
2023-09-01,FHV - Other,43811,0,15753,14609,7387,14.433333333333332,3.9,14.166666666666666,3.766666666666667,38.0,,0.0
2023-10-01,FHV - Other,59978,0,20001,18766,9725,15.333333333333334,4.0,15.133333333333335,3.8333333333333335,36.333333333333336,,0.0
2023-11-01,FHV - Other,56386,0,19417,18221,9464,14.9,3.8666666666666667,14.699999999999998,3.733333333333333,36.0,,0.0
2023-12-01,FHV - Other,50829,0,18121,17354,8251,13.966666666666669,3.9000000000000004,13.766666666666667,3.7999999999999994,35.666666666666664,,0.0
2024-01-01,FHV - Other,50118,0,19268,18624,8651,13.666666666666666,3.6999999999999997,13.566666666666668,3.6666666666666665,34.0,,0.0
2024-02-01,FHV - Other,51251,0,18235,17578,8946,13.833333333333334,3.733333333333333,13.833333333333334,3.6,34.333333333333336,,0.0
2024-03-01,FHV - Other,53366,0,18464,17679,9110,14.9,3.8000000000000003,14.766666666666666,3.6666666666666665,35.0,,0.0
2024-04-01,FHV - Other,52127,0,17942,17208,8772,14.366666666666665,3.8333333333333335,14.366666666666667,3.6999999999999997,37.666666666666664,,0.0
2024-05-01,FHV - Other,50949,0,17866,17119,8554,14.533333333333333,3.8666666666666667,14.433333333333335,3.733333333333333,39.666666666666664,,0.0
2024-06-01,FHV - Other,48954,0,17500,16939,8156,13.5,3.866666666666667,13.5,3.6999999999999997,39.0,,0.0
2024-07-01,FHV - Other,46737,0,16062,15429,7385,13.733333333333334,3.966666666666667,13.700000000000001,3.8000000000000003,38.0,,0.0
2024-08-01,FHV - Other,47825,0,19842,19783,8831,12.966666666666667,3.533333333333333,13.0,3.466666666666667,38.666666666666664,,0.0
