date,industry,trips_per_day,farebox_per_day,unique_drivers,unique_vehicles,vehicles_per_day,avg_days_vehicles_on_road,avg_hours_per_day_per_vehicle,avg_days_drivers_on_road,avg_hours_per_day_per_driver,percent_of_trips_paid_with_credit_card,trips_per_day_shared,total_trips,passenger_count,avg_trip_distance,avg_trip_duration,total_amount,shared_match_flag,days_in_month,farebox_per_day_per_distance,total_co2_emission
2023-02-01,FHV - High Volume,641461,13007565.33,77137,74404,53180,20.0,6.6,19.7,6.4,,10811.0,17960908,,3.82,18.37,364211829.11,302708.0,28,3409454.3939,27409.3925
2023-02-01,FHV - Other,40561,,13599,12940,6742,14.0,3.93,13.83,3.8,,,1135708,,4.46,24.13,,,28,,2024.4932
2023-02-01,Green Taxi,2313,46203.0,928,891,504,15.8,3.6,15.5,3.5,0.66,286.10714285714283,64764,74919.0,2.75,13.92,1293684.0,8011.0,28,16824.8942,71.1396
2023-02-01,Yellow Taxi,103632,2440127.0,10762,7886,6679,23.7,8.4,20.2,7.2,0.81,21752.10714285714,2901696,3709775.0,2.67,14.74,68323556.0,609059.0,28,913093.1819,3101.7674
2023-03-01,FHV - High Volume,658499,14000534.57,79004,75941,55118,22.5,6.6,22.1,6.4,,12983.0,20413469,,3.95,19.17,434016571.55,402473.0,31,3546390.2282,32235.5364
2023-03-01,FHV - Other,43730,,14163,13459,7111,15.77,4.0,15.67,3.87,,,1355630,,4.69,25.66,,,31,,2543.1617
2023-03-01,Green Taxi,2323,47270.0,942,884,498,17.5,3.6,16.8,3.5,0.66,296.2903225806452,72013,83947.0,2.73,14.26,1465370.0,9185.0,31,17313.4363,78.6454
2023-03-01,Yellow Taxi,109230,2658778.0,11235,8119,6970,26.6,8.5,22.5,7.3,0.81,22740.483870967742,3386130,4325084.0,2.81,15.53,82422118.0,704955.0,31,947614.6786,3800.2653
2023-04-01,FHV - High Volume,638161,14101628.58,79657,76511,54269,21.3,6.5,20.9,6.4,,3515.0,19144830,,4.06,19.28,423048857.47,105450.0,30,3477331.0967,31055.2288
2023-04-01,FHV - Other,42373,,14431,13656,6927,14.43,3.93,14.27,3.83,,,1271190,,4.92,25.91,,,30,,2500.2091
2023-04-01,Green Taxi,2179,45836.0,933,884,481,16.3,3.5,15.8,3.5,0.67,278.3333333333333,65370,75553.0,2.86,14.44,1375080.0,8350.0,30,16020.1528,74.8133
2023-04-01,Yellow Taxi,109071,2704765.0,11236,8172,6916,25.4,8.4,21.5,7.3,0.8,24671.533333333333,3272130,4291105.0,2.87,15.87,81142950.0,740146.0,30,940871.3609,3762.6154
2023-05-01,FHV - High Volume,640244,14847148.11,80394,77106,55261,22.2,6.5,21.8,6.4,,4318.0,19847564,,4.19,20.43,460261591.33,133858.0,31,3541225.2487,33285.6231
2023-05-01,FHV - Other,45720,,14731,13827,7316,15.53,4.07,15.37,3.9,,,1417320,,4.95,27.16,,,31,,2808.8344
2023-05-01,Green Taxi,2231,48349.0,922,879,475,16.8,3.7,16.3,3.6,0.68,281.93548387096774,69161,78897.0,2.88,15.04,1498819.0,8740.0,31,16769.7607,79.7594
2023-05-01,Yellow Taxi,112843,2867319.0,11661,8317,7186,26.8,8.6,22.4,7.3,0.81,24550.645161290322,3498133,4487234.0,3.02,16.85,88886889.0,761070.0,31,950531.0162,4220.9094
