Unnamed: 0,date,industry,trips_per_day,total_co2_emission,vehicles_per_day,total_trips,total_amount,farebox_per_day_per_distance,farebox_per_day,unique_vehicles,avg_trip_distance
105,2023-03-01,FHV - Other,43730,2543.1617,7111,1355630,,,,13459,4.69
422,2023-03-01,total industrias,813782,38657.6088,69697,25227242,517904059.55,4511318.3431,16706582.57,98403,14.18
438,2023-04-01,total industrias,791784,37392.8666,68593,23753520,505566887.47,4434222.610400001,16852229.58,99223,14.709999999999999
109,2023-04-01,FHV - Other,42373,2500.2091,6927,1271190,,,,13656,4.92
108,2023-04-01,FHV - High Volume,638161,31055.2288,54269,19144830,423048857.47,3477331.0967,14101628.58,76511,4.06
110,2023-04-01,Green Taxi,2179,74.8133,481,65370,1375080.0,16020.1528,45836.0,884,2.86
111,2023-04-01,Yellow Taxi,109071,3762.6154,6916,3272130,81142950.0,940871.3609,2704765.0,8172,2.87
115,2023-05-01,Yellow Taxi,112843,4220.9094,7186,3498133,88886889.0,950531.0162,2867319.0,8317,3.02
114,2023-05-01,Green Taxi,2231,79.7594,475,69161,1498819.0,16769.7607,48349.0,879,2.88
113,2023-05-01,FHV - Other,45720,2808.8344,7316,1417320,,,,13827,4.95
112,2023-05-01,FHV - High Volume,640244,33285.6231,55261,19847564,460261591.33,3541225.2487,14847148.11,77106,4.19
454,2023-05-01,total industrias,801038,40395.126299999996,70238,24832178,550647299.3299999,4508526.025599999,17762816.11,100129,15.040000000000001
119,2023-06-01,Yellow Taxi,109766,3901.1803,7171,3292980,84074160.0,946224.8403,2802472.0,8384,2.96
117,2023-06-01,FHV - Other,41546,2359.6083,6864,1246380,,,,13338,4.73
116,2023-06-01,FHV - High Volume,645549,31930.2578,55701,19366470,446362983.63,3609731.9248,14878766.12,77565,4.12
118,2023-06-01,Green Taxi,2184,77.8903,479,65520,1465320.0,16434.7015,48844.0,855,2.97
470,2023-06-01,total industrias,799045,38268.9367,70215,23971350,531902463.63,4572391.4666,17730082.119999997,100142,14.780000000000001
486,2023-07-01,total industrias,756621,37800.9572,68594,23455251,493399345.99,4045255.0457,15916107.94,101177,14.55
123,2023-07-01,Yellow Taxi,93315,3476.5362,6811,2892765,72777863.0,781383.062,2347673.0,8306,3.0
122,2023-07-01,Green Taxi,1978,73.729,464,61318,1362884.0,14625.3713,43964.0,850,3.01
120,2023-07-01,FHV - High Volume,617161,31853.5448,53969,19131991,419258598.99,3249246.6124,13524470.94,77346,4.16
121,2023-07-01,FHV - Other,44167,2397.1472,7350,1369177,,,,14675,4.38
502,2023-08-01,total industrias,730071,37785.7364,69138,22632201,471413402.35,3761001.0035,15206883.95,101283,15.38
124,2023-08-01,FHV - High Volume,591032,31398.2493,54179,18321992,399265118.35,3006262.6626,12879519.95,77520,4.28
125,2023-08-01,FHV - Other,46597,2852.7421,7555,1444507,,,,14569,4.94
126,2023-08-01,Green Taxi,1957,74.7556,471,60667,1391993.0,14576.1844,44903.0,853,3.08
127,2023-08-01,Yellow Taxi,90485,3459.9894,6933,2805035,70756291.0,740162.1565,2282461.0,8341,3.08
131,2023-09-01,Yellow Taxi,94351,3348.1656,6689,2830530,74207250.0,836461.4135,2473575.0,8495,2.96
518,2023-09-01,total industrias,802041,38771.4047,71484,24061230,539427568.81,4596124.9093,17980918.96,103407,15.08
