inventory_type,sectors_sector,category_full,category_label,source_full,source_label,source_units,year,emission_tco2e
GPC,Stationary Energy,Residential (small and large residential),Residential,Electricity,Electricity,kWh,2012,5184113.49
GPC,Stationary Energy,Residential (small and large residential),Residential,Natural gas,Natural gas,SCF,2012,8019305.92
GPC,Stationary Energy,Residential (small and large residential),Residential,Steam,Steam,kg,2012,255842.12
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Electricity,Upstream Electricity,kWh,2012,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Steam,Upstream Steam,kg,2012,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Natural gas,Upstream Natural gas,SCF,2012,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Downstream Natural gas,Downstream Natural gas,SCF,2012,0
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#2 fuel oil,#2 fuel oil,gallon,2012,734056.14
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#4 fuel oil,#4 fuel oil,gallon,2012,143895.45
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#6 fuel oil,#6 fuel oil,gallon,2012,195212.4
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Biofuel,Biofuel,gallon,2012,11.61
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Electricity,Electricity,kWh,2012,7817946.2
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Natural gas,Natural gas,SCF,2012,4644065.63
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Steam,Steam,kg,2012,509345.56
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Electricity,Upstream Electricity,kWh,2012,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Steam,Upstream Steam,kg,2012,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Natural gas,Upstream Natural gas,SCF,2012,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Downstream Natural gas,Downstream Natural gas,SCF,2012,0
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#2 fuel oil,#2 fuel oil,gallon,2012,169230.44
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#4 fuel oil,#4 fuel oil,gallon,2012,31002.79
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#6 fuel oil,#6 fuel oil,gallon,2012,15073.93
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Biofuel,Biofuel,gallon,2012,2.06
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Electricity,Electricity,kWh,2012,2896991.49
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Natural gas,Natural gas,SCF,2012,1091225.94
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Steam,Steam,kg,2012,152803.67
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Electricity,Upstream Electricity,kWh,2012,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Steam,Upstream Steam,kg,2012,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Natural gas,Upstream Natural gas,SCF,2012,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Downstream Natural gas,Downstream Natural gas,SCF,2012,0
GPC,Stationary Energy,Fugitive natural gas,Fugitive,CH4 - natural gas distribution,Fugitive CH4,GJ,2012,389429.27
GPC,Transportation,Railways,Railways,Electricity - subway and commuter rail,Electricity,kWh,2012,705737.61
GPC,Transportation,Railways,Railways,Diesel - commuter rail,Diesel,gallon,2012,12941.06
CLCPA Addition,Transportation,Railways,Railways,Upstream Electricity,Upstream Electricity,kWh,2012,0
GPC,Transportation,Marine Navigation,Marine Navigation,Diesel - marine navigation,Marine diesel,gallon,2012,31605.36
GPC,Transportation,Marine Navigation,Marine Navigation,Biofuel,Biofuel,gallon,2012,0
GPC,Transportation,Aviation,Aviation,Jet fuel - aviation,Jet fuel,gallon,2012,1326.94
GPC,Waste,Landfills,Landfills,Exported solid waste - landfills,CH4,MT,2012,1898970.54
GPC,Waste,Biological treatment,Biological treatment,CH4 and N2O - composting,CH4 and N2O from composting,MT,2012,3587.11
GPC,Waste,Wastewater treatment,Wastewater treatment,CH4 - wastewater treatment plants,CH4,MT,2012,209998.6
GPC,Waste,Wastewater treatment,Wastewater treatment,N2O - wastewater treatment plants,N2O,MT,2012,68535.62
GPC,Transportation,On-Road,On-Road,Passenger cars,Passenger cars,VMT,2012,11972767.4
GPC,Transportation,On-Road,On-Road,Medium duty trucks,Medium duty trucks,VMT,2012,385609.16
GPC,Transportation,On-Road,On-Road,Heavy duty trucks,Heavy duty trucks,VMT,2012,1324447.18
GPC,Transportation,On-Road,On-Road,SWCV,SWCV,VMT,2012,66913.97
GPC,Transportation,On-Road,On-Road,School Bus,School Bus,VMT,2012,61600.89
CLCPA Addition,Transportation,On-Road,On-Road,Passenger cars,Passenger cars,VMT,2012,0
CLCPA Addition,Transportation,On-Road,On-Road,Medium duty trucks,Medium duty trucks,VMT,2012,671.68
CLCPA Addition,Transportation,On-Road,On-Road,SWCV,SWCV,VMT,2012,0
CLCPA Addition,Transportation,On-Road,On-Road,Heavy duty trucks,Heavy duty trucks,VMT,2012,0
GPC,Transportation,On-Road,On-Road,Bus,Bus,VMT,2012,566297.38
CLCPA Addition,Transportation,On-Road,On-Road,Bus,Bus,VMT,2012,36728.55
GPC,Stationary Energy,Residential (small and large residential),Residential,#2 fuel oil,#2 fuel oil,gallon,2013,1658720.73
GPC,Stationary Energy,Residential (small and large residential),Residential,#4 fuel oil,#4 fuel oil,gallon,2013,965266.25
GPC,Stationary Energy,Residential (small and large residential),Residential,#6 fuel oil,#6 fuel oil,gallon,2013,1180663.93
GPC,Stationary Energy,Residential (small and large residential),Residential,Biofuel,Biofuel,gallon,2013,66.03
GPC,Stationary Energy,Residential (small and large residential),Residential,Electricity,Electricity,kWh,2013,4667425.49
GPC,Stationary Energy,Residential (small and large residential),Residential,Natural gas,Natural gas,SCF,2013,4108153.74
GPC,Stationary Energy,Residential (small and large residential),Residential,Steam,Steam,kg,2013,306006.48
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Electricity,Upstream Electricity,kWh,2013,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Steam,Upstream Steam,kg,2013,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Natural gas,Upstream Natural gas,SCF,2013,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Downstream Natural gas,Downstream Natural gas,SCF,2013,0
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#2 fuel oil,#2 fuel oil,gallon,2013,939940.13
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#4 fuel oil,#4 fuel oil,gallon,2013,172279.49
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#6 fuel oil,#6 fuel oil,gallon,2013,144879.26
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Biofuel,Biofuel,gallon,2013,16.62
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Electricity,Electricity,kWh,2013,7156621.22
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Natural gas,Natural gas,SCF,2013,5416915.43
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Steam,Steam,kg,2013,573787.49
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Electricity,Upstream Electricity,kWh,2013,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Steam,Upstream Steam,kg,2013,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Natural gas,Upstream Natural gas,SCF,2013,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Downstream Natural gas,Downstream Natural gas,SCF,2013,0
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#2 fuel oil,#2 fuel oil,gallon,2013,216695.25
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#4 fuel oil,#4 fuel oil,gallon,2013,37118.23
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#6 fuel oil,#6 fuel oil,gallon,2013,11187.3
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Biofuel,Biofuel,gallon,2013,2.95
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Electricity,Electricity,kWh,2013,2656647.69
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Natural gas,Natural gas,SCF,2013,6042758.86
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Steam,Steam,kg,2013,172136.25
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Electricity,Upstream Electricity,kWh,2013,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Steam,Upstream Steam,kg,2013,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Natural gas,Upstream Natural gas,SCF,2013,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Downstream Natural gas,Downstream Natural gas,SCF,2013,0
GPC,Stationary Energy,Fugitive natural gas,Fugitive,CH4 - natural gas distribution,Fugitive CH4,GJ,2013,440766.66
GPC,Transportation,Railways,Railways,Electricity - subway and commuter rail,Electricity,kWh,2013,659435.58
GPC,Transportation,Railways,Railways,Diesel - commuter rail,Diesel,gallon,2013,14898.46
CLCPA Addition,Transportation,Railways,Railways,Upstream Electricity,Upstream Electricity,kWh,2013,0
